IP,COUNTRY,LAT,LON,DIST,RTT
92.38.169.178,US,40.7795,-74.0805,9.158603335384537,1.9401311874389648
170.39.226.151,US,40.7905,-74.0815,9.795004539760708,1.348423957824707
23.157.160.140,US,40.7395,-74.0115,13.597443711358975,2.712535858154297
217.243.179.165,US,40.7195,-74.0095,13.878976069749836,13.408136367797852
152.195.68.35,US,40.7115,-74.0105,13.939724316362938,2.468109130859375
109.230.208.226,US,40.7185,-74.0085,13.977592405258926,69.28958892822266
104.131.160.184,US,40.7085,-74.0095,14.090576217222228,1.8584012985229492
156.154.35.254,US,40.7405,-74.0005,14.52971335189143,1.223301887512207
207.246.88.250,US,40.5605,-74.4815,32.58867030415359,2.3247241973876953
76.26.115.194,US,39.9585,-75.6095,149.51344601311578,8.190727233886719
216.171.184.239,US,43.1015,-75.2405,277.3029588605615,8.87453556060791
68.64.60.178,US,39.0595,-76.9625,302.583772960837,9.863066673278809
216.171.180.239,US,43.0375,-76.1485,303.72701783925584,8.781838417053223
192.1.110.32,US,42.3895,-71.1495,311.9294126163723,9.92274284362793
204.8.154.50,US,42.3515,-71.0985,312.99993076632626,6.975007057189941
185.114.152.90,US,42.3485,-71.0615,315.34927321010497,10.504937171936035
128.164.88.178,US,38.9005,-77.0505,319.7231912851176,8.529496192932129
206.196.178.150,US,38.9215,-77.2085,328.79365802706957,8.945798873901367
63.218.125.154,US,38.9515,-77.3595,337.08513212933866,6.966757774353027
170.39.224.221,US,38.9515,-77.3615,337.22360411773525,9.212207794189453
204.9.93.238,US,38.9595,-77.3825,338.14793806444766,8.238577842712402
156.154.119.254,US,39.0175,-77.4485,338.9910995539491,7.993721961975098
192.73.253.2,US,39.0195,-77.4585,339.5704207913613,7.914137840270996
107.162.216.5,US,39.0195,-77.4615,339.78281207118994,12.402677536010742
199.119.65.55,US,39.0205,-77.4625,339.78972738024316,8.124256134033203
37.10.42.14,US,39.0115,-77.4595,340.15353968404634,6.916546821594238
152.195.64.35,US,39.0415,-77.4885,340.30398425310136,6.808018684387207
208.80.155.69,US,39.0385,-77.4885,340.49325395866333,7.295370101928711
34.202.174.53,US,39.0395,-77.4895,340.50137501712976,7.822680473327637
35.186.175.121,US,39.0395,-77.4925,340.7151206838206,8.083868026733398
74.119.119.255,US,38.9975,-77.4795,342.4656415595784,8.147072792053223
192.136.136.221,US,38.8875,-77.4305,346.2849063804786,8.633589744567871
147.135.78.61,US,38.7505,-77.6685,371.942355438614,7.915282249450684
208.73.138.12,US,37.7015,-77.4415,439.4430997694529,22.230005264282227
185.57.190.200,US,42.8905,-78.8805,458.5030237901888,14.726877212524414
208.40.192.202,US,40.4315,-80.0385,497.69236792276337,16.532325744628906
54.39.185.31,CA,45.3115,-73.8925,508.8511794468621,9.037017822265625
35.203.43.169,CA,45.4975,-73.5725,531.2559874071706,13.550806045532227
99.79.30.74,CA,45.4985,-73.5695,531.3890633264439,13.693571090698242
206.162.189.131,CA,45.5015,-73.5685,531.7284509887082,18.708491325378418
172.93.18.42,CA,45.5185,-73.5215,533.9741669699433,13.726329803466797
165.227.45.164,CA,43.6505,-79.3595,536.8460590858157,11.565589904785156
149.248.50.86,CA,43.6505,-79.3605,536.9118937778624,16.1038875579834
23.159.16.30,CA,43.6515,-79.3785,538.1617636976952,16.42909049987793
128.100.103.40,CA,43.6595,-79.4015,540.1903076536404,27.712130546569824
103.144.177.30,CA,43.7675,-79.3295,542.521789407936,30.095338821411133
172.99.232.21,CA,43.8275,-79.3325,546.7148043703858,19.629240036010742
155.254.2.42,CA,43.4775,-80.5495,608.8144537257791,22.43194580078125
104.225.3.74,US,35.9315,-78.8795,673.382537375418,17.025065422058105
3.17.51.141,US,39.9585,-82.9995,754.571598624404,18.161845207214355
208.86.250.253,US,42.4515,-83.2585,780.7299522875801,34.4141960144043
96.126.70.90,CA,46.0795,-64.8115,961.9005182222152,26.68635845184326
35.243.131.207,US,33.1995,-80.0125,984.2759620019357,19.896626472473145
160.36.2.198,US,35.9595,-83.9225,1002.8162109450731,24.425196647644043
216.37.47.154,US,39.9615,-86.1525,1020.6291797291728,27.04923152923584
204.42.254.42,US,41.8485,-87.6205,1132.026942130643,19.628119468688965
92.38.176.25,US,41.8515,-87.6215,1132.120362916773,18.95925998687744
192.5.203.212,US,40.4595,-87.6595,1140.9021694420123,26.010584831237793
