IP,COUNTRY,CITY,RTT,DIST
66.28.3.114,US,New York,1.4629602432250977,14.286596556971793
66.250.250.106,US,Philadelphia,3.5709142684936523,121.03660280364508
66.250.250.26,US,Boston,8.627653121948242,316.292832279001
66.250.250.122,US,Washington DC,7.330513000488281,319.1987434451827
66.250.250.170,CA,Montreal,9.928083419799805,531.9047784734659
66.250.250.42,CA,Toronto,19.979000091552734,538.6469330083911
66.28.3.202,US,Chicago,20.127010345458984,1132.4497524534147
66.28.3.234,US,Atlanta,23.71382713317871,1191.4737599273549
66.250.250.98,US,Jacksonville,29.6201229095459,1337.7319627762736
66.250.250.130,US,Orlando,33.15684795379639,1504.05942049376
66.250.250.162,US,Tampa,42.1478271484375,1608.5696155506728
66.250.250.178,US,Minneapolis,33.68861675262451,1625.6333542723053
66.28.3.98,US,Kansas City,31.597399711608887,1750.051165742221
66.28.3.218,US,Miami,37.41292953491211,1750.496166837354
66.28.3.210,US,Dallas,42.09558963775635,2196.5612387501956
66.250.250.34,US,Houston,37.460923194885254,2271.8958222876067
66.250.250.50,US,Denver,43.79587173461914,2610.9094183582306
66.250.250.10,MX,Mexico City,56.85155391693115,3348.042663527419
66.250.250.58,US,Seattle,73.1278657913208,3861.8781433106165
66.250.250.138,US,San Diego,70.43459415435791,3901.302013627111
66.28.3.82,US,Los Angeles,72.38287925720215,3930.0838953811085
209.14.255.26,CO,Bogota,92.26930141448975,3996.6820616184505
66.250.250.154,US,Sacramento,65.37752151489258,4018.6115990399776
66.250.250.114,US,San Jose,68.78628730773926,4097.909294089337
66.250.250.146,US,San Francisco,68.35498809814453,4124.747925408447
130.117.254.170,IE,Dublin,79.18438911437988,5137.677150277191
130.117.254.82,GB,Southport,79.06980514526367,5339.436897932967
130.117.254.50,PT,Lisbon,96.64862155914307,5448.66858571418
130.117.254.58,GB,London,69.32196617126465,5594.614217222035
130.117.254.66,ES,Madrid,81.8228006362915,5794.3803755904155
130.117.254.250,FR,Bordeaux,82.61351585388184,5827.642328062058
130.117.254.74,FR,Paris,72.97241687774658,5860.476604517655
130.117.254.2,NL,Amsterdam,74.92356300354004,5887.14756020739
130.117.254.18,BE,Brussels,77.67519950866699,5913.979954063619
130.117.254.162,NO,Oslo,100.03302097320557,5936.999851582832
130.117.254.26,DE,Dusseldorf,80.45604228973389,6055.317632453209
130.117.254.154,ES,Valencia,87.52298355102539,6096.058367882008
130.117.254.42,DE,Hamburg,83.9442253112793,6155.440764437718
130.117.254.10,ES,Barcelona,100.4840612411499,6193.524289781668
130.117.254.138,DK,Copenhagen,93.73393058776855,6212.439986057568
130.117.254.34,DE,Frankfurt,82.41455554962158,6228.667483435741
130.117.254.242,FR,Marseille,87.58556842803955,6331.923996008344
130.117.254.146,SE,Stockholm,98.93338680267334,6344.141815967948
130.117.254.114,CH,Zurich,92.77544021606445,6350.499107425009
130.117.254.90,DE,Berlin,90.03794193267822,6409.975047207534
130.117.254.130,DE,Nuremberg,89.46459293365479,6415.7789553271505
130.117.254.122,IT,Milan,94.94128227233887,6491.40049261865
130.117.254.106,DE,Munich,87.19096183776855,6514.948466477397
130.117.228.2,EE,Tallinn,106.23414516448975,6674.020647080133
130.117.254.98,AT,Vienna,94.54562664031982,6823.561527877465
130.117.254.194,SK,Bratislava,94.60728168487549,6874.005239440147
130.117.254.210,PL,Warsaw,100.40292739868164,6880.432704701436
130.117.254.202,IT,Rome,98.43971729278564,6917.616902784558
130.117.254.186,HU,Budapest,98.4199047088623,7035.303988357196
209.14.255.2,BR,Sao Paulo,110.06250381469727,7666.491981712728
130.117.254.178,RO,Bucharest,109.20815467834473,7678.800620038452
209.14.255.22,BR,Rio de Janeiro,106.91783428192139,7740.648007157436
130.117.254.234,UA,Kharkiv,141.49072170257568,7886.190761915353
130.117.254.218,GR,Athens,122.12557792663574,7954.763802359634
66.250.250.210,US,Honolulu,119.91596221923828,7980.434109618235
205.199.1.10,JP,Tokio,171.8313694000244,10862.196989068996
205.199.1.30,KR,Seoul,234.8869800567627,11070.863451383279
205.199.1.66,TW,Taipei,232.01196193695068,12543.917646918224
206.185.255.2,ZA,Johannesburg,225.65300464630127,12847.80848317337
66.250.250.194,HK,Hong Kong,211.52856349945068,12975.182986291835
130.117.254.226,BG,Sofia,110.73470115661621,13825.67781055409
206.149.255.18,NZ,Auckland,243.22850704193115,14173.674684899352
66.250.250.202,SG,Singapore,247.21171855926514,15338.248290130294
206.149.255.2,AU,Sydney,210.34185886383057,15972.904427851136
206.149.255.6,AU,Perth,267.3686742782593,18688.505558243225
