IP,COUNTRY,CITY,RTT,DIST
66.28.3.114,US,New York,1.4629602432250977,38.28371151081891
66.250.250.106,US,Philadelphia,3.5709142684936523,189.09375534720513
66.250.250.26,US,Boston,8.627653121948242,338.7786058622164
66.250.250.122,US,Washington DC,7.330513000488281,380.8962282616574
66.250.250.170,CA,Montreal,9.928083419799805,575.0027864929283
66.250.250.42,CA,Toronto,19.97900009155273,1032.9164375500577
66.28.3.202,US,Chicago,20.127010345458984,1230.0568078409153
66.28.3.234,US,Atlanta,23.71382713317871,1261.338959495032
66.250.250.98,US,Jacksonville,29.6201229095459,1695.3270440297533
66.250.250.178,US,Minneapolis,33.68861675262451,1767.8174446754597
66.28.3.98,US,Kansas City,31.597399711608887,1878.1761355882127
66.250.250.130,US,Orlando,33.15684795379639,1927.117618827684
66.28.3.218,US,Miami,37.41292953491211,2218.2573023076916
66.250.250.34,US,Houston,37.46092319488525,2370.45382071065
66.250.250.162,US,Tampa,42.1478271484375,2547.0486342880895
66.28.3.210,US,Dallas,42.09558963775635,2731.391973464654
66.250.250.50,US,Denver,43.79587173461914,2735.655464980002
66.250.250.10,MX,Mexico City,56.85155391693115,3630.775686654504
66.250.250.154,US,Sacramento,65.37752151489258,4220.364968620919
66.250.250.146,US,San Francisco,68.35498809814453,4328.523179110527
66.250.250.114,US,San Jose,68.78628730773926,4377.159697931849
66.250.250.58,US,Seattle,73.1278657913208,4472.800115278484
66.250.250.138,US,San Diego,70.43459415435791,4492.498239811454
66.28.3.82,US,Los Angeles,72.38287925720215,4598.520697192312
209.14.255.26,CO,Bogota,92.26930141448976,4642.5662600346905
130.117.254.82,GB,Southport,79.06980514526367,5577.173285565694
130.117.254.58,GB,London,69.32196617126465,5592.823653863177
130.117.254.74,FR,Paris,72.97241687774658,5887.603685774537
130.117.254.2,NL,Amsterdam,74.92356300354004,5964.3982012415545
130.117.254.170,IE,Dublin,79.18438911437988,6043.267482945335
130.117.254.18,BE,Brussels,77.67519950866699,6139.371304910503
130.117.254.26,DE,Dusseldorf,80.45604228973389,6143.126144443591
130.117.254.34,DE,Frankfurt,82.41455554962158,6335.81707975009
130.117.254.42,DE,Hamburg,83.9442253112793,6344.853570073413
130.117.254.242,FR,Marseille,87.58556842803955,6540.400392040428
130.117.254.90,DE,Berlin,90.03794193267822,6619.649232663788
130.117.254.138,DK,Copenhagen,93.73393058776855,6625.238252601536
130.117.254.106,DE,Munich,87.19096183776855,6636.571604610313
130.117.254.250,FR,Bordeaux,82.61351585388184,6665.051232088875
130.117.254.66,ES,Madrid,81.8228006362915,6737.231743679401
130.117.254.130,DE,Nuremberg,89.46459293365479,6774.3686525872035
130.117.254.114,CH,Zurich,92.77544021606444,6897.939871916555
130.117.254.122,IT,Milan,94.94128227233888,6910.441495148313
130.117.254.98,AT,Vienna,94.54562664031982,6992.917082560467
130.117.254.154,ES,Valencia,87.52298355102539,7023.3200068660635
130.117.254.194,SK,Bratislava,94.60728168487547,7041.232133262752
130.117.254.162,NO,Oslo,100.03302097320557,7078.855939115116
130.117.254.210,PL,Warsaw,100.40292739868164,7100.620416623241
130.117.254.146,SE,Stockholm,98.93338680267334,7173.204038805394
130.117.254.186,HU,Budapest,98.4199047088623,7214.618875703825
130.117.254.50,PT,Lisbon,96.64862155914308,7225.011167973442
130.117.254.202,IT,Rome,98.43971729278564,7251.677605039599
130.117.228.2,EE,Tallinn,106.23414516448976,7565.168698467604
209.14.255.2,BR,Sao Paulo,110.06250381469728,7675.787461726555
209.14.255.22,BR,Rio de Janeiro,106.9178342819214,7741.030841984136
130.117.254.226,BG,Sofia,110.7347011566162,7801.4389783497045
130.117.254.178,RO,Bucharest,109.20815467834473,7832.844887333157
130.117.254.10,ES,Barcelona,100.4840612411499,8233.078947351467
130.117.254.218,GR,Athens,122.12557792663574,8344.85862420818
66.250.250.210,US,Honolulu,119.91596221923828,8711.701269446601
130.117.254.234,UA,Kharkiv,141.49072170257568,9227.011170509904
205.199.1.10,JP,Tokio,171.8313694000244,13429.925501199661
206.185.255.2,ZA,Johannesburg,225.65300464630127,14489.147729518809
66.250.250.194,HK,Hong Kong,211.52856349945068,15255.834376674542
205.199.1.66,TW,Taipei,232.01196193695068,16062.567196737891
206.149.255.2,AU,Sydney,210.34185886383057,17023.07438273862
205.199.1.30,KR,Seoul,234.8869800567627,18670.008564039737
66.250.250.202,SG,Singapore,247.21171855926517,18712.26812179118
206.149.255.18,NZ,Auckland,243.22850704193115,19187.276782513032
206.149.255.6,AU,Perth,267.3686742782593,22607.33602488053
