IP,COUNTRY,CITY
130.117.254.98,AT,Vienna
206.149.255.6,AU,Perth
206.149.255.2,AU,Sydney
130.117.254.18,BE,Brussels
130.117.254.226,BG,Sofia
209.14.255.2,BR,Sao Paulo
209.14.255.22,BR,Rio de Janeiro
66.250.250.170,CA,Montreal
66.250.250.42,CA,Toronto
130.117.254.114,CH,Zurich
209.14.255.26,CO,Bogota
130.117.254.90,DE,Berlin
130.117.254.26,DE,Dusseldorf
130.117.254.34,DE,Frankfurt
130.117.254.42,DE,Hamburg
130.117.254.106,DE,Munich
130.117.254.130,DE,Nuremberg
130.117.254.138,DK,Copenhagen
130.117.228.2,EE,Tallinn
130.117.254.10,ES,Barcelona
130.117.254.66,ES,Madrid
130.117.254.154,ES,Valencia
130.117.254.250,FR,Bordeaux
130.117.254.242,FR,Marseille
130.117.254.74,FR,Paris
130.117.254.58,GB,London
130.117.254.82,GB,Southport
130.117.254.218,GR,Athens
66.250.250.194,HK,Hong Kong
130.117.254.186,HU,Budapest
130.117.254.170,IE,Dublin
130.117.254.122,IT,Milan
130.117.254.202,IT,Rome
205.199.1.10,JP,Tokio
205.199.1.30,KR,Seoul
66.250.250.10,MX,Mexico City
130.117.254.2,NL,Amsterdam
130.117.254.162,NO,Oslo
206.149.255.18,NZ,Auckland
130.117.254.210,PL,Warsaw
130.117.254.50,PT,Lisbon
130.117.254.178,RO,Bucharest
130.117.254.146,SE,Stockholm
66.250.250.202,SG,Singapore
130.117.254.194,SK,Bratislava
205.199.1.66,TW,Taipei
130.117.254.234,UA,Kharkiv
66.28.3.234,US,Atlanta
66.250.250.26,US,Boston
66.28.3.202,US,Chicago
66.28.3.210,US,Dallas
66.250.250.50,US,Denver
66.250.250.210,US,Honolulu
66.250.250.34,US,Houston
66.250.250.98,US,Jacksonville
66.28.3.98,US,Kansas City
66.28.3.82,US,Los Angeles
66.28.3.218,US,Miami
66.250.250.178,US,Minneapolis
66.28.3.114,US,New York
66.250.250.130,US,Orlando
66.250.250.106,US,Philadelphia
66.250.250.154,US,Sacramento
66.250.250.138,US,San Diego
66.250.250.146,US,San Francisco
66.250.250.114,US,San Jose
66.250.250.58,US,Seattle
66.250.250.162,US,Tampa
66.250.250.122,US,Washington DC
206.185.255.2,ZA,Johannesburg
