num_packets_up,num_packet_down,total_bytes_up,min_pkt_size_up,max_pkt_size_up,mean_pkt_size_up,std_pkt_size_up,total_bytes_down,min_pkt_size_down,max_pkt_size_down,mean_pkt_size_down,std_pkt_size_down,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,min_iat_dowj,max_iat_down,mean_iat_down,std_iat_down,website
250,251,38430.0,40.0,1618.0,153.72,303.38690819522355,488613.0,40.0,21940.0,1946.6653386454184,4020.6189134950087,4.000000000000001e-06,8.840662,0.07308759437751004,0.6844840385979405,0.0,8.841036,0.07277638,0.6831460027976723,abc.net.au
567,537,120303.0,40.0,1923.0,212.17460317460316,366.52048789452573,756995.0,40.0,35080.0,1409.6741154562383,4467.411645421306,5e-06,5.381619000000001,0.02944914134275619,0.2830927886507557,1.0000000000000002e-06,13.614210000000002,0.03109327052238806,0.5880230669146889,nytimes.com
438,400,74994.0,40.0,1385.0,171.21917808219177,314.62022785862416,1285459.0,40.0,64280.0,3213.6475,8470.490892986318,5e-06,8.754726,0.0445441647597254,0.49332172621820397,1.0000000000000002e-06,17.099172,0.048780235588972425,0.8559579007467971,dailymail.co.uk
530,897,925634.0,40.0,19020.0,1746.4792452830188,3870.5675717581453,639645.0,40.0,32368.0,713.0936454849499,2741.981262418268,5e-06,6.081037,0.03534799810964084,0.2942025836732845,0.0,6.0807780000000005,0.020863464285714287,0.28862120964070453,news.google.com
658,619,107241.0,40.0,1385.0,162.98024316109422,281.2761545238877,582945.0,40.0,10255.0,941.7528271405492,1906.436817333083,1.0000000000000002e-06,5.087618,0.026889948249619485,0.22815786067102536,1.0000000000000002e-06,5.088568,0.02858274271844661,0.26680998275848905,cnn.com
2282,2076,570112.0,40.0,7340.0,249.82997370727432,479.0165286654283,1693725.0,40.0,13180.0,815.8598265895954,1711.8568620785911,0.0,3.184111,0.00854887724682157,0.08083343562336166,0.0,3.184289,0.00938525638554217,0.09911735989942827,ndtv.com
591,525,142528.0,40.0,6339.0,241.1641285956007,473.7374461992638,743739.0,40.0,24860.0,1416.6457142857143,3404.563558387045,1.0000000000000002e-06,4.15071,0.030753898305084747,0.23676846974991836,0.0,7.575249,0.03461895229007633,0.4059007302907707,news18.com
1404,1303,399189.0,40.0,7340.0,284.3226495726496,498.4988433496259,1164190.0,40.0,32179.0,893.4689178818112,2787.586050622394,1.0000000000000002e-06,1.9440970000000002,0.013784589451176051,0.08018578592700501,0.0,1.9447910000000002,0.014852026113671275,0.10039646036388211,news.yahoo.com
233,221,27783.0,40.0,1261.0,119.24034334763948,160.9617718158212,243796.0,40.0,24737.0,1103.1493212669684,3256.582462750286,6e-06,16.926827,0.08330352586206895,1.1117539885912853,1.0000000000000002e-06,16.927473000000003,0.08783256363636364,1.141699349076546,nypost.com
374,366,60789.0,40.0,1385.0,162.5374331550802,263.3728586435384,1050734.0,40.0,64280.0,2870.8579234972676,7509.827148041265,6e-06,6.454232,0.04692914745308311,0.4368332811757123,1.0000000000000002e-06,14.617107,0.04794355342465754,0.7657650272023853,theguardian.com
