Request_Size,Inter_RR_Time,DL_Time,DL_Vol,DL_Size,PB_Time
583.0,0.004832999999997867,0.005944000000003058,10602.0,10.0,16.448505
1034.0,0.017106999999999317,8.000000001118224e-06,1592.0,6.0,16.474616
654.0,0.009882999999998532,0.002476000000001477,23100.0,17.0,19.934595
562.0,0.0029119999999984714,0.055167000000000854,70024.0,49.0,24.182383
565.0,0.0036009999999997433,0.004895999999998679,69926.0,48.0,24.251007
565.0,0.003206999999999738,0.025888999999999385,145450.0,98.0,24.282332
656.0,0.0037810000000000343,0.8948640000000019,985902.0,656.0,24.312752
656.0,0.00420000000000087,0.5414239999999992,558982.0,371.0,25.215799
566.0,0.011784999999999712,0.007556999999998482,197656.0,132.0,27.777712
660.0,0.010905000000001053,0.07121100000000169,827456.0,549.0,28.779365
660.0,0.009949000000002428,0.015692999999998847,512272.0,340.0,31.785389
660.0,0.00975700000000046,0.03991200000000106,1016740.0,674.0,33.786951
660.0,0.011463000000006218,0.279519999999998,509764.0,339.0,36.788042
660.0,0.010260999999999854,0.12255300000000346,1027372.0,682.0,38.789221
660.0,0.0039529999999956544,0.3924650000000014,1029212.0,682.0,41.793379
660.0,0.009900000000001796,0.04911200000000093,1022996.0,678.0,46.800978
660.0,0.010071000000003494,0.7658819999999977,609956.0,406.0,49.802968
660.0,0.010828000000003613,0.023296999999999457,927838.0,615.0,51.805859
660.0,0.004027000000000669,0.2119379999999964,838364.0,556.0,54.812697
660.0,0.00470200000000176,0.40041199999999577,506481.0,337.0,56.815542
567.0,0.010053999999996677,0.022773999999998296,511151.0,341.0,59.82162
660.0,0.005217999999999279,0.8697820000000007,967312.0,644.0,61.823192
660.0,0.01153200000000254,0.017364999999998076,494184.0,328.0,64.831064
660.0,0.010474000000002093,2.3767210000000034,1541816.0,1023.0,68.837362
660.0,0.010080999999999563,0.04010100000000705,1543012.0,1022.0,73.843032
660.0,0.010249000000001729,0.04463799999999196,1544920.0,1024.0,78.850407
660.0,0.01207699999999079,0.3201620000000105,1543310.0,1023.0,83.864901
660.0,0.010121000000012259,0.5318539999999956,1540152.0,1021.0,88.869976
660.0,0.01211399999999685,0.0853350000000006,1481402.0,982.0,93.883461
660.0,0.010530000000002815,0.08312600000000714,1541236.0,1022.0,98.892316
660.0,0.011152999999993085,4.381749000000013,1539482.0,1025.0,103.896715
660.0,0.004553999999998837,0.06804700000000707,1540258.0,1021.0,109.915409
